# ankle angle
x,y
-0.840000,19.426760
-0.838000,19.651748
-0.836000,19.866053
-0.834000,20.085757
-0.832000,20.294459
-0.830000,20.507355
-0.828000,20.706692
-0.826000,20.907155
-0.824000,21.091691
-0.822000,21.276064
-0.820000,21.442998
-0.818000,21.609037
-0.816000,21.757344
-0.814000,21.905859
-0.812000,22.028968
-0.810000,22.146899
-0.808000,22.240173
-0.806000,22.329303
-0.804000,22.395409
-0.802000,22.456837
-0.800000,22.496831
-0.798000,22.531943
-0.796000,22.546291
-0.794000,22.557297
-0.792000,22.543135
-0.790000,22.522600
-0.788000,22.480670
-0.786000,22.434033
-0.784000,22.367358
-0.782000,22.294905
-0.780000,22.202330
-0.778000,22.103466
-0.776000,21.984055
-0.774000,21.857711
-0.772000,21.704874
-0.770000,21.542819
-0.768000,21.356683
-0.766000,21.160880
-0.764000,20.940239
-0.762000,20.719417
-0.760000,20.471230
-0.758000,20.203044
-0.756000,19.903684
-0.754000,19.595556
-0.752000,19.241602
-0.750000,18.848540
-0.748000,18.419526
-0.746000,17.938329
-0.744000,17.545059
-0.742000,17.139600
-0.740000,16.705009
-0.738000,16.239661
-0.736000,15.727981
-0.734000,15.212988
-0.732000,14.764224
-0.730000,14.211593
-0.728000,13.610098
-0.726000,12.905780
-0.724000,12.174372
-0.722000,11.360211
-0.720000,10.477969
-0.718000,9.552160
-0.716000,8.594558
-0.714000,7.600533
-0.712000,6.573609
-0.710000,5.517389
-0.708000,4.370768
-0.706000,3.259178
-0.704000,2.366032
-0.702000,1.574574
-0.700000,0.779220
-0.698000,-0.033902
-0.696000,-0.856169
-0.694000,-1.705649
-0.692000,-2.552692
-0.690000,-3.689232
-0.688000,-4.511251
-0.686000,-5.407009
-0.684000,-6.340820
-0.682000,-7.288986
-0.680000,-8.249583
-0.678000,-9.211575
-0.676000,-10.193537
-0.674000,-11.187170
-0.672000,-12.200486
-0.670000,-13.235101
-0.668000,-14.292545
-0.666000,-15.374763
-0.664000,-16.485810
-0.662000,-17.620373
-0.660000,-18.759179
-0.658000,-19.902877
-0.656000,-21.051548
-0.654000,-22.203904
-0.652000,-23.352796
-0.650000,-24.498477
-0.648000,-25.641230
-0.646000,-26.781520
-0.644000,-27.919692
-0.642000,-29.055909
-0.640000,-30.190471
-0.638000,-31.323389
-0.636000,-32.454732
-0.634000,-33.584438
-0.632000,-34.714395
-0.630000,-35.843990
-0.628000,-36.973412
-0.626000,-38.102168
-0.624000,-39.230264
-0.622000,-40.358430
-0.620000,-41.485800
-0.618000,-42.612763
-0.616000,-43.738946
-0.614000,-44.864735
-0.612000,-45.812735
-0.610000,-45.810290
-0.608000,-45.806967
-0.606000,-45.805665
-0.604000,-45.805206
-0.602000,-45.805776
-0.600000,-45.806032
-0.598000,-45.806663
-0.596000,-45.807396
-0.594000,-45.806698
-0.592000,-45.810461
-0.590000,-45.813945
-0.588000,-45.816404
-0.586000,-45.819483
-0.584000,-45.820072
-0.582000,-45.822855
-0.580000,-45.823921
-0.578000,-45.810478
-0.576000,-45.788113
-0.574000,-45.777724
-0.572000,-45.745665
-0.570000,-45.693287
-0.568000,-45.621888
-0.566000,-45.736243
-0.564000,-45.836619
-0.562000,-45.844767
-0.560000,-45.896922
-0.558000,-45.893965
-0.556000,-45.893870
-0.554000,-45.946477
-0.552000,-45.938902
-0.550000,-45.935613
-0.548000,-45.930269
-0.546000,-45.920075
-0.544000,-45.896478
-0.542000,-45.857907
-0.540000,-45.802793
-0.538000,-45.982038
-0.536000,-45.927182
-0.534000,-45.896113
-0.532000,-45.857362
-0.530000,-45.795601
-0.528000,-45.710013
-0.526000,-45.603083
-0.524000,-45.479214
-0.522000,-45.336700
-0.520000,-45.219431
-0.518000,-45.092656
-0.516000,-44.950599
-0.514000,-44.808842
-0.512000,-44.716928
-0.510000,-44.682127
-0.508000,-44.699558
-0.506000,-44.782795
-0.504000,-45.509040
-0.502000,-45.925162
-0.500000,-45.924599
-0.498000,-45.919783
-0.496000,-45.912402
-0.494000,-46.003983
-0.492000,-45.983074
-0.490000,-45.967336
-0.488000,-45.949825
-0.486000,-45.928756
-0.484000,-45.905865
-0.482000,-45.883348
-0.480000,-45.861823
-0.478000,-45.841360
-0.476000,-45.821318
-0.474000,-45.800364
-0.472000,-45.775981
-0.470000,-45.749170
-0.468000,-45.722637
-0.466000,-45.699065
-0.464000,-45.679694
-0.462000,-45.665334
-0.460000,-45.656032
-0.458000,-45.651937
-0.456000,-45.652852
-0.454000,-45.658686
-0.452000,-45.685903
-0.450000,-45.734126
-0.448000,-45.873556
-0.446000,-45.810235
-0.444000,-45.785334
-0.442000,-45.803752
-0.440000,-45.799394
-0.438000,-45.795609
-0.436000,-45.791781
-0.434000,-45.787349
-0.432000,-45.785526
